[2025-06-27 11:12:10,395] INFO AT BLEND metrics: {'Country': 'AT', 'SARIMAX_RMSE': 4.495919208767379, 'SARIMAX_MAPE': 3.983947915012689, 'SARIMAX_GARCH_Coverage': 100.0, 'XGB_RMSE': 5.023141859599839, 'XGB_MAPE': 4.908550726504629, 'BLEND_RMSE': 4.257811744433332, 'BLEND_MAPE': 3.823302465775664, 'Blend_Ratio': 0.6486946820253948}
[2025-06-27 11:12:36,849] INFO AU BLEND metrics: {'Country': 'AU', 'SARIMAX_RMSE': 3.653655390612203, 'SARIMAX_MAPE': 3.6077110063537705, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 5.687538343121995, 'XGB_MAPE': 4.914454078470478, 'BLEND_RMSE': 3.6278208001689802, 'BLEND_MAPE': 3.4346047073616637, 'Blend_Ratio': 0.9098188180620073}
[2025-06-27 11:13:06,439] INFO BE BLEND metrics: {'Country': 'BE', 'SARIMAX_RMSE': 5.5916205630338345, 'SARIMAX_MAPE': 5.18385330611912, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 4.4539050452178, 'XGB_MAPE': 4.232525962254914, 'BLEND_RMSE': 4.453906930474394, 'BLEND_MAPE': 4.232528512561155, 'Blend_Ratio': 5.9608609865491405e-06}
[2025-06-27 11:13:33,125] INFO CA BLEND metrics: {'Country': 'CA', 'SARIMAX_RMSE': 5.8862254305740045, 'SARIMAX_MAPE': 6.273388789564461, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 6.119083619417528, 'XGB_MAPE': 5.220792928924543, 'BLEND_RMSE': 5.39022420284455, 'BLEND_MAPE': 5.303755775925432, 'Blend_Ratio': 0.550650755694693}
[2025-06-27 11:14:01,541] INFO CO BLEND metrics: {'Country': 'CO', 'SARIMAX_RMSE': 3.85157808497163, 'SARIMAX_MAPE': 4.114147231560429, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 5.413329406200196, 'XGB_MAPE': 4.886114924782093, 'BLEND_RMSE': 3.8515806515051296, 'BLEND_MAPE': 4.114146934123238, 'Blend_Ratio': 0.9999940391390134}
[2025-06-27 11:14:29,188] INFO CZ BLEND metrics: {'Country': 'CZ', 'SARIMAX_RMSE': 5.877416072989394, 'SARIMAX_MAPE': 5.2418756663652415, 'SARIMAX_GARCH_Coverage': 100.0, 'XGB_RMSE': 5.753036687778675, 'XGB_MAPE': 5.338994993964423, 'BLEND_RMSE': 5.598082155161455, 'BLEND_MAPE': 4.881156247795676, 'Blend_Ratio': 0.4257037119911904}
[2025-06-27 11:14:55,482] INFO DE BLEND metrics: {'Country': 'DE', 'SARIMAX_RMSE': 8.244247116973984, 'SARIMAX_MAPE': 8.009929176745311, 'SARIMAX_GARCH_Coverage': 100.0, 'XGB_RMSE': 7.008664473618666, 'XGB_MAPE': 6.053378981013503, 'BLEND_RMSE': 7.008664553102412, 'BLEND_MAPE': 6.053372104631462, 'Blend_Ratio': 5.9608609865491405e-06}
[2025-06-27 11:15:25,924] INFO DK BLEND metrics: {'Country': 'DK', 'SARIMAX_RMSE': 8.241526720030933, 'SARIMAX_MAPE': 6.5631491633658, 'SARIMAX_GARCH_Coverage': 100.0, 'XGB_RMSE': 5.610211167691861, 'XGB_MAPE': 5.372002134322837, 'BLEND_RMSE': 5.610215854033838, 'BLEND_MAPE': 5.372003253426713, 'Blend_Ratio': 5.9608609865491405e-06}
[2025-06-27 11:15:52,555] INFO EE BLEND metrics: {'Country': 'EE', 'SARIMAX_RMSE': 7.644780295285419, 'SARIMAX_MAPE': 6.772292722045662, 'SARIMAX_GARCH_Coverage': 100.0, 'XGB_RMSE': 6.773271622903742, 'XGB_MAPE': 6.171277797065542, 'BLEND_RMSE': 6.761839343904254, 'BLEND_MAPE': 6.120241734255841, 'Blend_Ratio': 0.09871705407159634}
[2025-06-27 11:16:19,847] INFO ES BLEND metrics: {'Country': 'ES', 'SARIMAX_RMSE': 6.041602536717736, 'SARIMAX_MAPE': 5.48007860790461, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 5.5597385183812715, 'XGB_MAPE': 5.044709212437168, 'BLEND_RMSE': 5.302814163595421, 'BLEND_MAPE': 4.9273380111609955, 'Blend_Ratio': 0.3658967622103507}
[2025-06-27 11:16:48,423] INFO FI BLEND metrics: {'Country': 'FI', 'SARIMAX_RMSE': 5.858068107300479, 'SARIMAX_MAPE': 5.706716237889509, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 6.023327968350305, 'XGB_MAPE': 5.560093024407923, 'BLEND_RMSE': 5.407383901240788, 'BLEND_MAPE': 5.00132165012071, 'Blend_Ratio': 0.5409581925293596}
[2025-06-27 11:17:16,071] INFO FR BLEND metrics: {'Country': 'FR', 'SARIMAX_RMSE': 5.758345566057803, 'SARIMAX_MAPE': 5.769840457717625, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 6.328677893222637, 'XGB_MAPE': 6.524163637116322, 'BLEND_RMSE': 5.75804931378532, 'BLEND_MAPE': 5.78623204355665, 'Blend_Ratio': 0.9782697970961879}
[2025-06-27 11:17:44,753] INFO GB BLEND metrics: {'Country': 'GB', 'SARIMAX_RMSE': 7.059999183534486, 'SARIMAX_MAPE': 6.217589527500517, 'SARIMAX_GARCH_Coverage': 91.66666666666666, 'XGB_RMSE': 7.243103898323223, 'XGB_MAPE': 6.026079411147728, 'BLEND_RMSE': 6.8903630296461555, 'BLEND_MAPE': 5.834842366714633, 'Blend_Ratio': 0.5923828897012662}
