STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,FREQ,Fréquence d'observation,METHODOLOGY,Methodology,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,EXPENDITURE,Dépense,ADJUSTMENT,Ajustement,TRANSFORMATION,Transformation,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,BASE_PER,Période de base,DURABILITY,Durability,DECIMALS,Décimales
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,IND,Inde,M,Mensuelle,N,National,CPI,Consumer price index,IX,Indice,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,N'est pas applicable,2024-05,,154.1362,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,IND,Inde,M,Mensuelle,N,National,CPI,Consumer price index,IX,Indice,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,N'est pas applicable,2024-06,,155.7889,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,IND,Inde,M,Mensuelle,N,National,CPI,Consumer price index,IX,Indice,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,N'est pas applicable,2024-07,,157.2212,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,IND,Inde,M,Mensuelle,N,National,CPI,Consumer price index,IX,Indice,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,N'est pas applicable,2024-08,,157.111,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,IND,Inde,M,Mensuelle,N,National,CPI,Consumer price index,IX,Indice,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,N'est pas applicable,2024-09,,157.8822,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,IND,Inde,M,Mensuelle,N,National,CPI,Consumer price index,IX,Indice,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,N'est pas applicable,2024-10,,159.2043,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,IND,Inde,M,Mensuelle,N,National,CPI,Consumer price index,IX,Indice,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,N'est pas applicable,2024-11,,159.2043,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,IND,Inde,M,Mensuelle,N,National,CPI,Consumer price index,IX,Indice,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,N'est pas applicable,2024-12,,158.3229,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,IND,Inde,M,Mensuelle,N,National,CPI,Consumer price index,IX,Indice,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,N'est pas applicable,2025-01,,157.772,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,IND,Inde,M,Mensuelle,N,National,CPI,Consumer price index,IX,Indice,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,N'est pas applicable,2025-02,,157.3313,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,IND,Inde,M,Mensuelle,N,National,CPI,Consumer price index,IX,Indice,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,N'est pas applicable,2025-03,,157.5517,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Indices des prix à la consommation (IPCs, IPCHs), COICOP 1999",I,IND,Inde,M,Mensuelle,N,National,CPI,Consumer price index,IX,Indice,_T,Total,N,Ni corrigé des variations saisonnières ni corrigé des effets de calendrier,_Z,N'est pas applicable,2025-04,,158.1026,,A,Normal value,,,2015,,,,2,Two
