country,coverage_prior_mean,coverage_prior_regression
AT,100.0,100.0
AU,100.0,100.0
BE,100.0,100.0
CA,100.0,100.0
CO,100.0,100.0
CZ,100.0,100.0
DE,100.0,100.0
DK,100.0,100.0
EE,91.66666666666666,100.0
ES,100.0,100.0
FI,100.0,100.0
FR,100.0,100.0
GB,91.66666666666666,100.0
GR,100.0,91.66666666666666
HU,100.0,100.0
IE,100.0,100.0
IL,100.0,100.0
IT,100.0,100.0
KR,91.66666666666666,91.66666666666666
LT,100.0,100.0
LU,100.0,100.0
LV,100.0,100.0
MX,100.0,100.0
NL,100.0,91.66666666666666
NO,100.0,100.0
PL,91.66666666666666,91.66666666666666
PT,91.66666666666666,91.66666666666666
SE,100.0,100.0
SI,100.0,91.66666666666666
SK,100.0,100.0
TR,100.0,100.0
US,91.66666666666666,91.66666666666666
