date,depression,anxiety,panic attacks,burnout,brain fog,no motivation to do anything,crying for no reason,how to know if I'm depressed,free therapy near me,job stress,feeling alone in college,toxic parents,I hate my life quotes,how to disappear,songs to cry to,always tired,can't stop overthinking,do I need therapy
2020-06-14,60,84,3,5,1,4,23,0,12,32,0,13,0,66,17,66,0,8
2020-06-21,57,88,3,5,1,5,32,0,12,33,0,17,0,60,18,66,0,10
2020-06-28,57,85,3,4,1,3,35,0,11,27,0,21,0,59,19,64,0,8
2020-07-05,58,84,3,4,2,4,30,0,13,31,0,14,0,61,17,67,0,6
2020-07-12,54,86,3,4,2,3,25,0,13,36,0,17,0,68,17,63,0,9
2020-07-19,60,86,3,4,2,4,25,0,12,33,0,18,0,58,13,70,0,10
2020-07-26,58,81,3,4,2,3,25,0,12,28,0,16,0,61,14,62,0,9
2020-08-02,58,80,3,4,2,4,27,0,9,32,0,17,0,61,18,61,0,10
2020-08-09,56,83,3,4,2,0,26,0,15,28,0,19,0,61,16,60,0,10
2020-08-16,64,82,3,4,2,5,20,0,12,25,0,17,0,61,17,57,0,9
2020-08-23,58,83,3,4,2,3,22,3,9,31,0,17,0,63,17,54,0,7
2020-08-30,57,82,3,4,2,5,28,0,13,33,0,15,0,66,23,57,0,9
2020-09-06,65,84,3,4,1,6,30,0,11,37,0,18,0,62,19,59,0,10
2020-09-13,67,86,3,4,2,4,26,0,16,43,0,15,0,66,18,61,0,9
2020-09-20,65,83,3,4,2,6,29,0,10,46,0,15,0,71,18,61,0,8
2020-09-27,64,85,3,4,1,5,30,0,10,39,0,15,0,61,18,58,0,9
2020-10-04,64,84,3,4,2,6,28,0,14,48,0,17,0,64,20,63,0,8
2020-10-11,64,85,3,4,2,9,25,0,17,38,0,15,0,58,19,63,0,11
2020-10-18,63,81,3,4,2,7,29,0,13,46,0,18,0,60,19,65,0,9
2020-10-25,65,82,3,4,2,7,30,0,13,48,0,15,0,64,20,63,0,9
2020-11-01,54,74,2,3,2,5,24,0,12,41,0,13,0,45,15,51,0,7
2020-11-08,65,82,3,5,3,6,27,0,16,47,0,19,0,58,20,60,0,9
2020-11-15,68,87,3,5,2,8,32,0,17,49,0,15,0,62,18,56,0,8
2020-11-22,53,74,3,4,2,5,25,8,5,33,0,16,0,58,21,50,0,7
2020-11-29,65,89,2,4,2,6,33,3,11,46,0,16,0,63,20,54,0,10
2020-12-06,65,85,3,4,2,6,31,0,13,47,0,18,0,62,18,55,0,9
